locationID,categoryID,price
3837,30,9765
1775,52,4335
51,13,9265
3989,12,1669
1034,32,5083
443,45,1897
262,48,7904
3079,58,4556
1170,45,7597
2652,2,3383
3796,41,5210
2845,16,9450
1839,50,7510
1837,54,969
3731,15,2635
1500,43,3887
2024,45,8608
3906,55,5201
380,59,586
3606,19,7017
892,31,2622
691,42,8447
854,45,705
3368,47,5451
1630,15,5639
2533,27,8117
2367,9,4793
3203,24,5068
2942,55,5627
1110,37,8137
651,52,7599
3351,47,6684
3977,18,2503
2491,27,1554
1462,52,2964
9,55,5120
2922,48,3126
3295,8,5073
2363,9,3726
1165,44,9094
2533,15,9446
3561,36,6442
510,32,5909
1018,26,8103
3971,21,3083
2947,26,5464
2479,37,3868
3819,42,5669
2687,55,9790
3623,50,9592
896,18,5015
2727,16,1368
349,45,6008
1380,20,1540
1215,56,8696
2640,15,581
1112,9,2478
1038,24,9576
2392,44,9821
761,7,6732
3610,52,3017
3862,29,8314
3683,6,1965
1613,23,2673
2029,19,3622
3656,3,8949
3969,33,2823
736,26,2342
331,33,4111
112,45,2248
3295,16,4889
2707,36,7488
3042,22,7837
144,21,682
3695,33,8794
950,48,5076
2478,24,8464
827,27,654
3491,8,997
1641,19,544
896,1,1152
2987,35,8668
2024,3,3489
1744,37,4717
2990,7,1888
368,27,9630
3137,58,8191
1705,19,6326
3436,44,8639
2946,17,8560
493,60,5882
855,60,3750
586,32,7507
1357,47,3552
1013,59,3576
1140,10,8334
1032,10,2913
308,46,4523
941,27,988
3217,52,3897
245,7,5087
1261,38,7271
634,28,6916
123,6,4798
1336,49,6954
1820,10,5003
2442,35,7851
237,4,9281
533,14,3827
1911,44,2792
1635,14,6293
3669,3,7594
3596,14,7540
1511,12,5937
1144,22,2499
1527,7,7005
1466,1,1930
168,12,9515
1941,26,9286
1566,46,2640
3471,18,7539
3524,25,5088
2410,31,9921
3635,58,6055
2255,8,958
1087,57,8392
665,43,4866
1035,22,6196
2808,35,1959
1536,22,2697
3380,20,1713
3673,24,3812
2431,14,6882
3950,17,7844
3697,39,1327
1069,23,4457
3965,43,9685
2440,55,7084
381,7,1871
491,18,5110
3774,2,3265
3954,4,8170
866,5,7860
1354,12,6881
3953,23,5676
1863,12,6809
3868,31,2976
1116,1,1601
3121,7,4013
3255,14,7834
180,48,1981
1519,27,2760
65,13,8996
1458,44,4696
60,44,9334
675,20,2639
2216,48,2334
605,22,1627
3754,19,1522
2378,55,2587
2140,24,3559
614,22,8784
2091,39,6591
1910,24,3968
3894,37,1886
1904,33,5375
2014,9,4282
3613,60,6832
3511,55,8163
3299,20,573
1215,2,1415
312,41,1526
1378,47,9061
344,37,2433
2928,12,8238
201,6,4304
1793,13,9568
626,26,3166
1458,53,3715
3470,29,8128
1214,57,7687
1302,39,2575
18,14,1906
3380,19,3796
1971,4,9874
445,31,5511
3982,52,9054
1402,24,9415
3343,3,2877
1116,29,5002
2943,60,1832
88,10,6295
3303,24,1282
554,17,783
2171,35,7582
1081,43,870
3924,21,4606
369,54,5406
3415,54,9561
2223,18,2260
39,42,9431
2721,34,2993
2497,45,6667
2730,46,2878
2553,10,6078
620,37,3728
1581,5,4077
624,40,1097
3594,35,5000
2125,25,6880
2988,52,2645
1169,45,9429
2488,9,2604
3734,40,2781
3591,52,5903
3650,5,7776
2990,51,3806
844,59,9228
2979,11,1958
984,11,2684
1535,28,8843
208,46,4812
60,3,8920
1885,35,7958
2911,32,4213
678,42,4654
993,11,1060
3166,26,8951
217,41,3624
3622,60,7984
2014,7,1532
2304,25,1172
2822,5,2195
905,14,4472
2952,10,6334
3104,58,3035
2872,44,8634
1587,57,3711
2303,4,6161
762,50,7921
1937,55,7747
3573,55,7881
1623,50,6887
1217,42,8590
2258,13,3280
815,19,7573
95,9,9042
1458,14,5388
3564,42,9596
377,12,3006
3584,2,8938
638,23,5679
3663,50,6689
2213,56,8037
1589,19,7695
3730,38,2120
3476,51,1499
3307,12,3777
3765,25,7195
2747,6,1560
443,20,7242
1700,58,3021
1132,52,3409
1326,31,6019
2225,27,9478
1420,32,7231
89,37,5909
2538,41,4308
3583,38,1622
3976,15,747
1753,35,4234
1398,51,3372
2416,15,9528
2787,45,3061
1603,1,3993
187,28,6320
3073,51,6876
2490,43,2430
3437,35,7145
3560,2,6289
2851,30,4896
1483,42,6372
2321,3,2807
772,48,7449
1739,45,4599
1001,58,1919
1339,16,6707
3708,40,5031
300,40,7304
825,55,6786
167,37,3486
3192,52,9284
2865,6,5177
596,52,4452
1356,25,8301
2790,33,6343
1407,43,9317
373,17,3874
867,49,3352
322,15,4016
1428,53,7414
1099,37,587
2047,47,8764
1501,34,4044
2725,27,4855
3278,51,6144
584,19,4801
981,1,9005
564,54,6781
1234,54,7533
3668,7,4391
3322,31,5418
3209,53,829
1742,28,2872
472,41,2328
440,45,7075
153,60,2153
2382,29,9416
1605,52,2016
2035,31,3415
3881,28,5916
721,11,6173
2612,22,5973
3665,13,1304
258,57,5766
3381,29,519
3138,60,1603
3428,40,2438
552,59,4759
289,44,5719
871,61,8469
2573,12,1260
380,27,5167
3865,2,9485
1903,51,9920
2237,28,4077
2713,37,3005
2959,49,8010
2901,35,1173
1015,37,2248
1088,40,7386
1264,7,1546
3704,49,9940
3549,37,3999
3517,23,3622
1389,9,5180
2804,40,2575
2323,25,1564
3609,32,8396
1996,42,3036
3908,31,7499
238,38,6316
1580,29,5710
760,55,9055
191,34,4383
508,17,7471
1776,17,5703
2549,32,4116
403,15,1739
2803,41,5454
1185,49,5401
2615,60,5516
3738,28,871
3862,45,8809
483,37,2442
2331,51,6782
1205,44,8118
308,49,8878
2946,54,9217
1536,14,7606
622,54,9821
2857,53,9182
330,38,1369
1687,25,9282
806,41,8246
265,32,7011
1782,19,8355
960,47,8246
2935,26,1835
3735,23,5214
3348,55,2063
2637,34,8735
3948,56,3236
3979,1,5571
3241,26,5538
2170,30,7388
2219,20,3928
1405,27,1099
2235,38,4554
2636,11,7489
3027,41,6285
315,59,4723
2764,2,5531
2430,17,5747
1896,40,4811
339,61,9189
968,19,5330
2258,40,4036
1522,49,5613
2064,42,3395
2031,39,3396
1455,56,8240
2967,43,1308
2310,25,9905
3921,58,2956
436,47,1005
2718,1,3487
2825,18,9112
2597,34,3746
1700,33,8372
373,54,1914
950,28,3652
2277,53,6036
3762,10,1100
168,12,3175
3747,34,4968
7,8,1436
3970,6,3468
1685,28,8848
6,26,2039
1156,9,893
661,7,1417
632,27,2922
2385,59,3684
1498,2,1179
585,4,1202
2814,30,6354
2831,27,6940
2894,52,9948
3738,44,7953
486,52,2264
1438,60,1908
1739,19,9744
200,40,7459
3990,59,3748
1613,31,3278
1556,3,7285
806,59,5843
2118,34,6888
2713,16,7516
2113,44,7785
957,24,5977
2698,27,3891
1218,34,705
3748,12,9116
3718,22,6199
1505,58,6866
1855,5,748
99,14,9687
2385,4,644
1512,35,2331
906,2,3089
642,7,1711
1077,34,6083
3813,51,4799
1862,38,8638
3502,43,857
401,25,8845
1870,46,3893
3391,60,6760
1166,43,6949
1478,23,6621
2869,15,1545
2775,35,559
3420,7,7881
1204,25,4184
1241,58,5231
3473,14,5837
329,20,1683
3302,57,1794
3082,53,6184
3827,32,2914
2139,21,1599
2456,17,4038
2563,43,8764
2466,44,3994
1733,53,950
2098,47,8480
2471,4,8199
1414,31,9411
3556,19,4411
3530,3,5955
2071,22,2064
75,27,6717
1340,44,5763
2430,2,9465
493,43,7232
2344,49,4939
2123,49,3269
488,18,7459
2255,5,5845
322,55,974
652,56,5108
42,53,3669
2888,50,5843
2848,28,7999
1464,23,9092
1554,14,4676
1281,3,6582
2212,42,8203
1868,24,3000
3016,31,3292
2163,26,5642
1082,18,7784
918,36,6607
1297,36,3832
3768,41,7826
2890,20,6238
422,29,7596
2617,59,9707
2939,39,9743
2226,24,3151
809,15,4043
2655,27,5189
3091,58,9351
861,57,1029
55,24,2337
2272,42,4860
3132,16,5047
1069,57,9205
1443,53,8533
2839,4,8325
777,35,7683
3849,9,1632
2789,27,7171
341,45,9967
2854,5,5454
2227,45,9655
2057,46,4117
3301,33,1793
371,19,3822
1536,30,6292
3470,47,5231
1620,27,9793
1197,55,8552
2485,20,1511
1740,36,9193
1706,18,2129
2150,56,1721
90,36,5896
2571,5,2899
2381,40,5375
483,48,2312
292,28,2048
743,12,7330
2602,4,6763
2393,43,2955
4,6,5519
1763,38,3285
266,26,4377
677,56,4894
2179,30,685
1654,22,3747
3723,43,7552
483,12,9473
1121,32,2303
2906,61,2963
2851,42,2864
2004,38,698
670,20,8894
1986,26,9084
2064,56,6491
1201,13,9756
2630,22,1353
2133,4,9782
376,23,5663
411,8,5365
3630,54,6814
181,43,8084
2661,15,6094
3853,3,8511
3591,1,6087
1530,48,886
1286,15,2546
252,48,9213
1521,46,8403
2683,45,8414
619,7,2380
3899,43,9800
2732,51,2360
1416,8,1824
655,32,6134
1982,49,8464
1058,44,3533
254,6,3367
2804,15,561
3432,6,9959
1341,3,3701
3001,54,8189
3900,17,9939
1191,32,8055
2632,52,8929
961,60,7937
375,37,8179
3966,5,4181
2897,54,2244
2106,39,8429
20,45,4329
1633,56,2263
1650,21,5828
1973,34,8287
3515,61,6561
582,47,3884
3857,33,3651
2614,43,999
346,35,6136
321,53,718
2252,45,5767
3993,11,1855
2570,48,6041
342,41,2156
2217,49,4687
2840,33,3261
5,15,1085
2522,30,2284
3039,20,586
175,25,8386
1574,43,3102
841,16,841
1841,58,2506
833,49,6178
1826,28,8534
3374,37,743
1602,24,9548
3985,16,9401
1274,47,9576
3171,37,2876
578,19,4608
3160,7,8389
3647,57,7920
2993,27,6262
405,13,6885
2141,10,1252
932,35,4562
3408,39,4557
2764,23,7817
247,9,887
2352,33,2404
2317,36,9469
3181,17,8276
1431,30,5616
3183,12,6957
3702,3,9664
877,36,5157
3673,60,6242
3536,4,2367
2981,27,8859
2562,31,1388
2290,19,2288
2998,54,6766
2204,40,6566
1988,45,1341
259,16,1356
2679,49,1713
1834,61,4445
459,31,2139
953,30,8307
292,50,4980
916,28,8605
450,24,9380
1353,29,4658
300,32,9030
167,54,8034
3937,1,2240
1334,20,2284
1485,5,2165
2582,51,1486
743,50,2724
3419,52,3150
637,50,3453
1135,58,8037
1328,33,6245
1009,25,3269
1204,50,2650
3549,57,7802
3526,20,7637
2686,23,3526
1992,19,9322
2360,36,1005
688,40,3294
750,19,9842
750,50,5678
2332,31,8789
2139,16,7399
1410,40,9358
3734,11,2562
2285,52,3520
2007,30,7592
1619,51,1312
2389,12,3640
3246,51,3405
608,17,9083
1673,7,7909
2833,10,5519
1213,15,4833
380,60,4443
2716,14,8199
2371,7,1666
48,1,1340
3862,43,7838
1530,59,3400
1245,57,3653
3591,49,1972
3730,46,4420
3065,17,6129
3784,52,3614
401,34,2261
3048,10,5203
2692,13,3311
3305,42,9631
2008,17,9814
3293,33,5381
1771,41,1320
178,54,4439
1821,55,3923
3348,14,7935
1510,36,9041
2563,33,6534
1175,44,4627
2290,16,6639
3029,58,2478
198,30,1300
1044,20,6101
730,42,814
2003,46,7141
2451,36,557
1200,54,5199
486,35,3512
1453,13,4670
1852,43,7258
1561,59,3267
1598,9,9221
1105,17,740
3044,12,9260
3556,9,5879
2039,31,4133
2764,25,8941
3265,36,2234
2155,47,5095
3717,28,4028
15,28,9404
571,38,2953
537,22,6894
2512,9,6427
2806,53,8359
1619,8,1296
2429,19,727
3217,16,8577
3784,9,4334
926,34,6628
3172,42,1967
1633,15,5683
3228,50,4008
272,45,2602
3606,30,8013
2222,51,4111
2411,5,7072
1198,48,2570
3012,30,7915
1439,33,3023
1840,44,8641
3151,9,5476
3564,56,9326
2560,45,4025
502,35,3199
2061,8,5956
638,57,4538
275,5,9695
1564,8,3259
3421,12,4058
1983,45,3310
2946,4,8117
378,52,6421
2987,14,8201
849,33,9168
937,37,9892
1835,22,9150
1590,9,9109
1483,2,8584
2961,45,3981
2561,41,5558
